"시도별","품목별","항목","단위","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"전국","총지수","소비자물가지수[2020=100]","2020=100","113.84","114.13","114.54","114.65","114.69","114.4","9.473","10.925","12.029","13.768","16.29","20.965","25.442","27.271","28.204","28.845","29.555","30.368","31.293","33.53","35.441","38.48","42.071","44.685","46.831","49.765","51.995","54.555","56.977","61.258","61.756","63.151","65.719","67.534","69.908","72.418","74.413","76.081","78.01","81.656","83.906","86.373","89.85","91.815","93.01","94.196","94.861","95.783","97.645","99.086","99.466","100","102.5","107.72","111.59",
"전국","농축수산물","소비자물가지수[2020=100]","2020=100","119.5","120.59","123.15","126.65","125.27","119","","","","","","","","","","","19.78","20.152","20.853","23.64","25.271","28.043","31.741","33.056","33.575","37.684","38.763","39.47","40.985","43.469","46.644","47.542","50.533","53.682","56.856","61.935","63.098","63.025","64.229","64.545","68.704","75.606","82.529","85.137","84.587","82.316","83.947","87.169","91.957","95.328","93.733","100","108.73","112.82","116.28",
"전국","(농산물)곡물","소비자물가지수[2020=100]","2020=100","102.39","102.4","101.69","101.68","102.34","103.35","","","","","","","","","","","31.284","33.191","34.361","36.982","38.35","42.287","44.346","45.754","48.231","50.001","51.801","59.938","62.546","66.569","71.119","74.557","75.104","72.438","74.091","77.247","74.886","70.374","71.422","76.29","76.103","71.198","80.032","85.107","90.52","87.789","85.351","78.3","75.708","92.281","101.166","100","109.15","98.86","99.34",
"전국","쌀","소비자물가지수[2020=100]","2020=100","100.55","100.35","98.78","98.35","99.18","99.88","10.934","13.28","13.947","14.775","17.195","21.763","27.862","28.581","28.393","28.568","30.037","32.391","33.574","36.788","38.682","42.299","44.54","45.776","47.981","50.231","52.62","60.902","63.603","67.701","72.41","75.06","75.272","73.228","74.735","76.217","74.191","69.832","71.446","75.168","75.353","68.818","76.467","83.846","88.444","86.885","84.913","76.155","72.025","91.531","99.209","100","109.4","97.08","98.71",
"전국","현미","소비자물가지수[2020=100]","2020=100","103.42","103.55","104.15","104.13","104","105.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.384","82.929","77.622","89.188","103.994","100","107.66","103.11","97.55",
"전국","찹쌀","소비자물가지수[2020=100]","2020=100","100.91","99.96","99.67","101.39","101.34","104.69","6.632","8.711","9.824","10.931","16.3","18.918","25.046","21.999","22.038","24.3","25.171","27.849","30.909","29.073","32.788","44.357","42.305","35.643","59.004","61.868","39.28","52.688","60.82","63.858","60.1","75.339","87.552","66.228","69.756","95.709","78.724","72.958","72.164","91.876","85.448","94.841","94.272","84.235","90.39","86.504","86.732","82.972","77.484","90.147","104.652","100","107","98.92","94.11",
"전국","보리쌀","소비자물가지수[2020=100]","2020=100","123.49","130.62","137.6","142.69","143.84","149.16","5.811","6.462","7.859","8.551","8.436","9.773","15.562","19.398","24.741","27.083","28.069","29.734","30.749","30.749","30.749","34.434","34.434","34.434","34.434","34.434","34.434","34.434","36.577","49.777","54.308","56.417","58.758","59.425","60.897","62.411","61.665","61.711","63.098","65.323","65.816","64.773","67.984","82.378","99.556","108.228","104.507","105.427","107.395","111.139","109.306","100","99.76","106.03","115.09",
"전국","콩","소비자물가지수[2020=100]","2020=100","104.08","104.55","105.69","105.67","105.71","105.82","2.107","2.908","3.746","4.045","4.459","6.3","9.678","9.243","10.345","10.474","10.201","10.573","11.467","12.043","13.112","12.845","13.706","18.053","21.484","24.879","31.434","32.783","29.254","29.071","36.555","44.226","43.327","40.544","43.058","64.846","67.161","61.212","55.684","62.511","62.65","66.825","96.008","89.114","92.156","80.989","76.602","70.25","90.166","104.443","114.33","100","116.67","104.3","99.29",
"전국","땅콩","소비자물가지수[2020=100]","2020=100","118.14","117.94","118.23","118.22","118.68","119.54","5.42","6.535","8.628","8.578","10.026","12.168","19.842","17.385","16.099","17.702","19.166","19.067","18.74","17.708","17.963","20.695","24.321","24.365","25.475","29.852","31.194","31.267","32.993","43.484","40.053","35.584","37.535","37.968","39.531","52.588","52.281","52.412","58.42","62.532","76.451","73.462","71.987","96.23","94.098","87.206","88.8","89.31","88.016","87.997","94.228","100","105.15","106.21","109.63",
"전국","혼식곡","소비자물가지수[2020=100]","2020=100","109.85","109.25","109.92","109.92","110.99","111.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.873","107.287","102.959","119.725","109.222","97.706","90.929","86.955","93.364","100.858","100","105.74","104.41","106.76",
